Course,Previous qualification,Mother's qualification,Father's qualification,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Unemployment rate,Inflation rate,GDP,order,value,abs_value,metric,n_train,n_test,seed
1,1,0,0,1,0,1,0,0,0,4,0.6473779385171791,0.6473779385171791,accuracy,3318,1106,42
1,1,0,0,1,0,0,1,0,0,4,0.5732368896925859,0.5732368896925859,accuracy,3318,1106,42
1,1,0,0,1,0,0,0,1,0,4,0.5732368896925859,0.5732368896925859,accuracy,3318,1106,42
1,1,0,0,1,0,0,0,0,1,4,0.5687160940325497,0.5687160940325497,accuracy,3318,1106,42
1,1,0,0,0,1,1,0,0,0,4,0.6500904159132007,0.6500904159132007,accuracy,3318,1106,42
1,1,0,0,0,1,0,1,0,0,4,0.5596745027124774,0.5596745027124774,accuracy,3318,1106,42
1,1,0,0,0,1,0,0,1,0,4,0.5623869801084991,0.5623869801084991,accuracy,3318,1106,42
1,1,0,0,0,1,0,0,0,1,4,0.5632911392405063,0.5632911392405063,accuracy,3318,1106,42
1,1,0,0,0,0,1,1,0,0,4,0.6482820976491862,0.6482820976491862,accuracy,3318,1106,42
1,1,0,0,0,0,1,0,1,0,4,0.6320072332730561,0.6320072332730561,accuracy,3318,1106,42
1,1,0,0,0,0,1,0,0,1,4,0.6428571428571429,0.6428571428571429,accuracy,3318,1106,42
1,1,0,0,0,0,0,1,1,0,4,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,1,0,0,0,0,0,1,0,1,4,0.5596745027124774,0.5596745027124774,accuracy,3318,1106,42
1,1,0,0,0,0,0,0,1,1,4,0.5614828209764918,0.5614828209764918,accuracy,3318,1106,42
1,0,1,1,1,0,0,0,0,0,4,0.5759493670886076,0.5759493670886076,accuracy,3318,1106,42
1,0,1,1,0,1,0,0,0,0,4,0.5705244122965641,0.5705244122965641,accuracy,3318,1106,42
1,0,1,1,0,0,1,0,0,0,4,0.6419529837251357,0.6419529837251357,accuracy,3318,1106,42
1,0,1,1,0,0,0,1,0,0,4,0.5488245931283906,0.5488245931283906,accuracy,3318,1106,42
1,0,1,1,0,0,0,0,1,0,4,0.5605786618444847,0.5605786618444847,accuracy,3318,1106,42
1,0,1,1,0,0,0,0,0,1,4,0.5533453887884268,0.5533453887884268,accuracy,3318,1106,42
1,0,1,0,1,1,0,0,0,0,4,0.5822784810126582,0.5822784810126582,accuracy,3318,1106,42
1,0,1,0,1,0,1,0,0,0,4,0.6500904159132007,0.6500904159132007,accuracy,3318,1106,42
1,0,1,0,1,0,0,1,0,0,4,0.554249547920434,0.554249547920434,accuracy,3318,1106,42
1,0,1,0,1,0,0,0,1,0,4,0.5614828209764918,0.5614828209764918,accuracy,3318,1106,42
1,0,1,0,1,0,0,0,0,1,4,0.5623869801084991,0.5623869801084991,accuracy,3318,1106,42
1,0,1,0,0,1,1,0,0,0,4,0.6500904159132007,0.6500904159132007,accuracy,3318,1106,42
1,0,1,0,0,1,0,1,0,0,4,0.5424954792043399,0.5424954792043399,accuracy,3318,1106,42
1,0,1,0,0,1,0,0,1,0,4,0.5524412296564195,0.5524412296564195,accuracy,3318,1106,42
1,0,1,0,0,1,0,0,0,1,4,0.546112115732369,0.546112115732369,accuracy,3318,1106,42
1,0,1,0,0,0,1,1,0,0,4,0.6446654611211573,0.6446654611211573,accuracy,3318,1106,42
1,0,1,0,0,0,1,0,1,0,4,0.6365280289330922,0.6365280289330922,accuracy,3318,1106,42
1,0,1,0,0,0,1,0,0,1,4,0.6320072332730561,0.6320072332730561,accuracy,3318,1106,42
1,0,1,0,0,0,0,1,1,0,4,0.5415913200723327,0.5415913200723327,accuracy,3318,1106,42
1,0,1,0,0,0,0,1,0,1,4,0.5397830018083183,0.5397830018083183,accuracy,3318,1106,42
1,0,1,0,0,0,0,0,1,1,4,0.5497287522603979,0.5497287522603979,accuracy,3318,1106,42
1,0,0,1,1,1,0,0,0,0,4,0.5786618444846293,0.5786618444846293,accuracy,3318,1106,42
1,0,0,1,1,0,1,0,0,0,4,0.6609403254972875,0.6609403254972875,accuracy,3318,1106,42
1,0,0,1,1,0,0,1,0,0,4,0.566003616636528,0.566003616636528,accuracy,3318,1106,42
1,0,0,1,1,0,0,0,1,0,4,0.5705244122965641,0.5705244122965641,accuracy,3318,1106,42
1,0,0,1,1,0,0,0,0,1,4,0.5741410488245932,0.5741410488245932,accuracy,3318,1106,42
1,0,0,1,0,1,1,0,0,0,4,0.6609403254972875,0.6609403254972875,accuracy,3318,1106,42
1,0,0,1,0,1,0,1,0,0,4,0.5705244122965641,0.5705244122965641,accuracy,3318,1106,42
1,0,0,1,0,1,0,0,1,0,4,0.5623869801084991,0.5623869801084991,accuracy,3318,1106,42
1,0,0,1,0,1,0,0,0,1,4,0.5705244122965641,0.5705244122965641,accuracy,3318,1106,42
1,0,0,1,0,0,1,1,0,0,4,0.6446654611211573,0.6446654611211573,accuracy,3318,1106,42
1,0,0,1,0,0,1,0,1,0,4,0.6410488245931284,0.6410488245931284,accuracy,3318,1106,42
1,0,0,1,0,0,1,0,0,1,4,0.6455696202531646,0.6455696202531646,accuracy,3318,1106,42
1,0,0,1,0,0,0,1,1,0,4,0.5506329113924051,0.5506329113924051,accuracy,3318,1106,42
1,0,0,1,0,0,0,1,0,1,4,0.5641952983725136,0.5641952983725136,accuracy,3318,1106,42
1,0,0,1,0,0,0,0,1,1,4,0.5614828209764918,0.5614828209764918,accuracy,3318,1106,42
1,0,0,0,1,1,1,0,0,0,4,0.6537070524412296,0.6537070524412296,accuracy,3318,1106,42
1,0,0,0,1,1,0,1,0,0,4,0.5569620253164557,0.5569620253164557,accuracy,3318,1106,42
1,0,0,0,1,1,0,0,1,0,4,0.5714285714285714,0.5714285714285714,accuracy,3318,1106,42
1,0,0,0,1,1,0,0,0,1,4,0.5605786618444847,0.5605786618444847,accuracy,3318,1106,42
1,0,0,0,1,0,1,1,0,0,4,0.6265822784810127,0.6265822784810127,accuracy,3318,1106,42
1,0,0,0,1,0,1,0,1,0,4,0.6320072332730561,0.6320072332730561,accuracy,3318,1106,42
1,0,0,0,1,0,1,0,0,1,4,0.635623869801085,0.635623869801085,accuracy,3318,1106,42
1,0,0,0,1,0,0,1,1,0,4,0.5488245931283906,0.5488245931283906,accuracy,3318,1106,42
1,0,0,0,1,0,0,1,0,1,4,0.554249547920434,0.554249547920434,accuracy,3318,1106,42
1,0,0,0,1,0,0,0,1,1,4,0.5623869801084991,0.5623869801084991,accuracy,3318,1106,42
1,0,0,0,0,1,1,1,0,0,4,0.650994575045208,0.650994575045208,accuracy,3318,1106,42
1,0,0,0,0,1,1,0,1,0,4,0.64376130198915,0.64376130198915,accuracy,3318,1106,42
1,0,0,0,0,1,1,0,0,1,4,0.6446654611211573,0.6446654611211573,accuracy,3318,1106,42
1,0,0,0,0,1,0,1,1,0,4,0.5524412296564195,0.5524412296564195,accuracy,3318,1106,42
1,0,0,0,0,1,0,1,0,1,4,0.5470162748643761,0.5470162748643761,accuracy,3318,1106,42
1,0,0,0,0,1,0,0,1,1,4,0.5569620253164557,0.5569620253164557,accuracy,3318,1106,42
