Course,Previous qualification,Mother's qualification,Father's qualification,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Unemployment rate,Inflation rate,GDP,order,value,abs_value,metric,n_train,n_test,seed
1,1,1,0,0,1,0,0,0,0,4,0.5623869801084991,0.5623869801084991,accuracy,3318,1106,42
1,1,1,0,0,0,1,0,0,0,4,0.6446654611211573,0.6446654611211573,accuracy,3318,1106,42
1,1,1,0,0,0,0,1,0,0,4,0.5578661844484629,0.5578661844484629,accuracy,3318,1106,42
1,1,1,0,0,0,0,0,1,0,4,0.5551537070524413,0.5551537070524413,accuracy,3318,1106,42
1,1,1,0,0,0,0,0,0,1,4,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,1,0,1,1,0,0,0,0,0,4,0.5650994575045208,0.5650994575045208,accuracy,3318,1106,42
1,1,0,1,0,1,0,0,0,0,4,0.5632911392405063,0.5632911392405063,accuracy,3318,1106,42
1,1,0,1,0,0,1,0,0,0,4,0.6518987341772152,0.6518987341772152,accuracy,3318,1106,42
1,1,0,1,0,0,0,1,0,0,4,0.5578661844484629,0.5578661844484629,accuracy,3318,1106,42
1,1,0,1,0,0,0,0,1,0,4,0.569620253164557,0.569620253164557,accuracy,3318,1106,42
1,1,0,1,0,0,0,0,0,1,4,0.5678119349005425,0.5678119349005425,accuracy,3318,1106,42
1,1,0,0,1,1,0,0,0,0,4,0.5687160940325497,0.5687160940325497,accuracy,3318,1106,42
