category,subcategory_1,type_1,material_1,region,owner,age,years_since_major_rehab,deck_length_m,span_count,order,value,abs_value,metric,n_train,n_test,seed
0,1,0,1,1,1,1,1,1,1,8,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
1,1,0,0,0,1,1,0,0,1,5,0.7750200160128102,0.7750200160128102,accuracy,3744,1249,42
0,1,1,1,0,0,0,0,0,0,3,0.688550840672538,0.688550840672538,accuracy,3744,1249,42
0,0,0,1,0,0,1,0,1,0,3,0.7774219375500401,0.7774219375500401,accuracy,3744,1249,42
0,1,1,1,0,0,0,1,1,1,6,0.6845476381104884,0.6845476381104884,accuracy,3744,1249,42
0,0,0,0,0,0,0,1,0,1,2,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
1,0,0,1,0,0,0,0,1,1,4,0.6701361088871097,0.6701361088871097,accuracy,3744,1249,42
1,1,1,1,0,1,1,1,0,0,7,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
0,0,1,1,1,1,1,0,0,0,5,0.7918334667734187,0.7918334667734187,accuracy,3744,1249,42
1,1,1,1,0,1,1,0,0,1,7,0.7790232185748599,0.7790232185748599,accuracy,3744,1249,42
0,0,0,0,0,0,1,1,0,1,3,0.7846277021617294,0.7846277021617294,accuracy,3744,1249,42
0,1,0,1,0,1,0,1,0,1,5,0.6805444355484388,0.6805444355484388,accuracy,3744,1249,42
0,0,1,1,1,0,0,0,1,1,5,0.6893514811849479,0.6893514811849479,accuracy,3744,1249,42
0,1,0,0,1,1,0,1,0,0,4,0.6541232986389112,0.6541232986389112,accuracy,3744,1249,42
0,0,1,0,0,0,1,0,1,0,3,0.7718174539631706,0.7718174539631706,accuracy,3744,1249,42
1,0,1,1,1,1,1,0,1,1,8,0.7918334667734187,0.7918334667734187,accuracy,3744,1249,42
1,1,1,1,1,1,0,1,0,1,8,0.6941553242594075,0.6941553242594075,accuracy,3744,1249,42
0,0,0,0,0,0,0,0,1,1,2,0.6212970376301041,0.6212970376301041,accuracy,3744,1249,42
0,0,1,0,1,0,1,1,0,0,4,0.7902321857485989,0.7902321857485989,accuracy,3744,1249,42
0,0,0,0,1,0,1,0,0,0,2,0.7790232185748599,0.7790232185748599,accuracy,3744,1249,42
