C1M_on,C2M_on,C3M_on,C4M_on,C5M_on,C6M_on,C7M_on,C8EV_on,E1_on,H3_on,H6M_on,V3_on,V4_on,order,value,abs_value,metric,n_train,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,1,0,0,1,0,0,0,0,0,1,0,3,0.0664516129032258,0.0664516129032258,rt_mean_next_mean,1,C3M_on|C6M_on|V3_on,1,10,0.2043620071684588,0.0,30
0,0,1,0,0,1,0,1,0,1,1,0,0,5,1.0351612903225809,1.0351612903225809,rt_mean_next_mean,1,C3M_on|C6M_on|C8EV_on|H3_on|H6M_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,0,0,1,0,1,1,1,1,1,1,8,1.2336935483870968,1.2336935483870968,rt_mean_next_mean,2,C3M_on|C6M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on|V4_on,8,10,1.269462365591398,1.120225806451613,75
0,0,1,0,1,0,0,0,0,0,1,1,0,4,0.9173333333333332,0.9173333333333332,rt_mean_next_mean,1,C3M_on|C5M_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,1,0,0,0,0,1,1,1,1,0,6,0.8374336917562725,0.8374336917562725,rt_mean_next_mean,3,C3M_on|C4M_on|E1_on|H3_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,1,0,0,0,1,0,0,1,1,0,5,0.4090913978494623,0.4090913978494623,rt_mean_next_mean,6,C3M_on|C4M_on|C8EV_on|H6M_on|V3_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,1,1,0,0,0,1,0,1,1,0,0,5,0.7792419354838709,0.7792419354838709,rt_mean_next_mean,2,C3M_on|C4M_on|C8EV_on|H3_on|H6M_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,1,1,0,0,0,1,0,1,1,1,0,6,0.5860964362519201,0.5860964362519201,rt_mean_next_mean,25,C3M_on|C4M_on|C8EV_on|H3_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,1,1,0,0,0,1,0,1,1,1,1,7,1.2909247311827958,1.2909247311827958,rt_mean_next_mean,3,C3M_on|C4M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,9,10,1.4780645161290322,1.2796774193548388,21
0,0,1,1,0,0,0,1,1,1,0,0,0,5,0.5286666666666666,0.5286666666666666,rt_mean_next_mean,1,C3M_on|C4M_on|C8EV_on|E1_on|H3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,1,1,0,0,0,1,1,1,1,0,0,6,1.089688940092166,1.089688940092166,rt_mean_next_mean,2,C3M_on|C4M_on|C8EV_on|E1_on|H3_on|H6M_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,1,0,0,0,1,1,1,1,1,0,7,0.3203932411674347,0.3203932411674347,rt_mean_next_mean,7,C3M_on|C4M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,1,1,0,0,0,1,1,1,1,1,1,8,1.0516666666666667,1.0516666666666667,rt_mean_next_mean,1,C3M_on|C4M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on|V4_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,1,0,0,1,1,0,0,1,1,1,7,0.8676666666666667,0.8676666666666667,rt_mean_next_mean,1,C3M_on|C4M_on|C7M_on|C8EV_on|H6M_on|V3_on|V4_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,1,0,0,1,1,0,1,1,1,1,8,0.6293548387096775,0.6293548387096775,rt_mean_next_mean,1,C3M_on|C4M_on|C7M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,3,10,0.6685232974910394,0.516774193548387,43
